State,,Confirmed,Recovered,Deaths,Active
Total,,1199,102,29,1068
Maharashtra,,215,25,7,183
Kerala,,202,20,1,181
Karnataka,,83,5,3,75
Delhi,,72,6,2,64
Uttar Pradesh,,72,11,0,61
Telangana,,70,1,1,68
Gujarat,,69,1,6,62
Rajasthan,,63,3,0,60
Tamil Nadu,,67,4,1,62
Madhya Pradesh,,47,0,2,45
Jammu and Kashmir,,45,1,1,43
Punjab,,39,1,1,37
Haryana,,35,17,0,18
Andhra Pradesh,,23,1,0,22
West Bengal,,22,0,2,20
Bihar,,15,0,1,14
Ladakh,,13,3,0,10
Andaman and Nicobar Islands,,10,0,0,10
Chandigarh,,9,0,0,9
Chhattisgarh,,7,0,0,7
Uttarakhand,,7,2,0,5
Goa,,5,0,0,5
Himachal Pradesh,,3,1,1,1
Odisha,,3,0,0,3
Manipur,,1,0,0,1
Mizoram,,1,0,0,1
Puducherry,,1,0,0,1
Arunachal Pradesh,,0,0,0,0
Assam,,0,0,0,0
Dadra and Nagar Haveli,,0,0,0,0
Daman and Diu,,0,0,0,0
Jharkhand,,0,0,0,0
Lakshadweep,,0,0,0,0
Meghalaya,,0,0,0,0
Nagaland,,0,0,0,0
Sikkim,,0,0,0,0
Tripura,,0,0,0,0
